Date,AAPL,AMZN,BAC,C,CRM,GOOG,JPM,MS,MSFT,PCLN
2015-12-29,108.739998,693.969971,17.280001,52.98,79.440002,776.599976,67.07,32.549999,56.549999,1302.400024
2015-12-30,107.32,689.070007,17.049999,52.299999,79.139999,771.0,66.589996,32.23,56.310001,1289.160034
2015-12-31,105.260002,675.890015,16.83,51.75,78.400002,758.880005,66.029999,31.809999,55.48,1274.949951
2016-01-04,105.349998,636.98999,16.43,51.130001,76.709999,741.840027,63.619999,31.48,54.799999,1245.369995
2016-01-05,102.709999,633.789978,16.43,50.860001,77.050003,742.580017,63.73,31.280001,55.049999,1210.689941
2016-01-06,100.699997,632.650024,16.08,50.119999,76.290001,743.619995,62.810001,30.5,54.049999,1196.709961
2016-01-07,96.449997,607.940002,15.5,47.560001,74.300003,726.390015,60.27,28.98,52.169998,1167.189941
2016-01-08,96.959999,607.049988,15.2,46.130001,73.230003,714.469971,58.919998,28.379999,52.330002,1136.959961
2016-01-11,98.529999,617.73999,15.31,46.849998,73.18,716.030029,58.830002,28.459999,52.299999,1136.280029
2016-01-12,99.959999,617.890015,15.31,46.880001,74.459999,726.070007,58.959999,28.459999,52.779999,1148.920044
2016-01-13,97.389999,581.809998,14.9,45.189999,72.349998,700.559998,57.34,26.889999,51.639999,1098.900024
2016-01-14,99.519997,593.0,14.99,45.380001,73.07,714.719971,58.200001,27.15,53.110001,1121.380005
2016-01-15,97.129997,570.179993,14.46,42.470001,70.860001,694.450012,57.040001,25.969999,50.990002,1086.73999
2016-01-19,96.660004,574.47998,14.24,41.939999,70.800003,701.789978,57.009998,26.26,50.560001,1094.5
2016-01-20,96.790001,571.77002,13.69,40.490002,70.330002,698.450012,55.509998,25.24,50.790001,1081.329956
2016-01-21,96.300003,575.02002,13.36,40.150002,69.510002,706.590027,55.25,24.780001,50.48,1089.140015
2016-01-22,101.419998,596.380005,13.56,41.060001,71.550003,725.25,56.950001,25.610001,52.290001,1118.109985
2016-01-25,99.440002,596.530029,12.96,39.549999,69.919998,711.669983,55.66,24.98,51.790001,1097.930054
2016-01-26,99.989998,601.25,13.31,40.5,69.870003,713.039978,57.080002,25.49,52.169998,1111.540039
2016-01-27,93.419998,583.349976,13.36,40.560001,67.43,699.98999,57.040001,25.370001,51.220001,1043.699951
2016-01-28,94.089996,635.349976,13.53,40.389999,65.690002,730.960022,57.279999,25.17,52.060001,1043.130005
2016-01-29,97.339996,587.0,14.14,42.580002,68.059998,742.950012,59.5,25.879999,55.09,1064.969971
2016-02-01,96.43,574.809998,13.96,42.48,68.440002,752.0,58.860001,25.709999,54.709999,1084.869995
2016-02-02,94.480003,552.099976,13.23,40.419998,64.519997,764.650024,57.029999,24.5,53.0,1066.790039
2016-02-03,96.349998,531.070007,13.03,40.360001,65.339996,726.950012,57.41,24.32,52.16,1049.160034
2016-02-04,96.599998,536.26001,13.25,40.790001,67.199997,708.01001,58.400002,25.01,52.0,1069.099976
2016-02-05,94.019997,502.130005,12.95,39.860001,58.509998,683.570007,57.75,24.35,50.16,1015.549988
2016-02-08,95.010002,488.100006,12.27,37.810001,54.049999,682.73999,56.540001,22.67,49.41,973.799988
2016-02-09,94.989998,482.070007,12.2,37.509998,57.330002,678.109985,56.200001,22.93,49.279999,991.289978
2016-02-10,94.269997,490.480011,11.98,37.41,58.759998,684.119995,55.52,22.700001,49.709999,1032.77002
2016-02-11,93.699997,503.820007,11.16,34.98,59.240002,683.109985,53.07,21.690001,49.689999,1055.23999
2016-02-12,93.989998,507.079987,11.95,37.540001,59.68,682.400024,57.490002,23.09,50.5,1058.01001
2016-02-16,96.639999,521.099976,12.25,38.889999,59.720001,691.0,58.349998,23.719999,51.09,1110.680054
2016-02-17,98.120003,534.099976,12.56,39.779999,63.490002,708.400024,58.77,24.23,52.419998,1235.560059
2016-02-18,96.260002,525.0,12.24,38.919998,61.700001,697.349976,57.810001,23.959999,52.189999,1251.949951
2016-02-19,96.040001,534.900024,12.13,38.990002,62.139999,700.909973,57.82,24.0,51.82,1283.73999
2016-02-22,96.879997,559.5,12.54,39.52,63.98,706.460022,58.57,24.540001,52.650002,1288.420044
2016-02-23,94.690002,552.940002,12.16,38.220001,62.900002,695.849976,56.119999,23.709999,51.18,1261.890015
2016-02-24,96.099998,554.039978,12.13,38.09,62.52,699.559998,56.139999,23.709999,51.360001,1264.209961
2016-02-25,96.760002,555.150024,12.32,38.619999,69.419998,705.75,57.009998,24.629999,52.099998,1263.410034
2016-02-26,96.910004,555.22998,12.7,39.5,69.720001,705.070007,57.540001,25.16,51.299999,1254.27002
2016-02-29,96.690002,552.52002,12.52,38.849998,67.75,697.77002,56.299999,24.700001,50.880001,1265.209961
2016-03-01,100.529999,579.039978,13.19,41.27,70.019997,718.809998,59.200001,26.09,52.580002,1295.920044
2016-03-02,100.75,580.210022,13.41,42.220001,70.43,718.849976,59.759998,26.110001,52.950001,1301.369995
2016-03-03,101.5,577.48999,13.5,42.830002,70.800003,712.419983,59.959999,26.139999,52.349998,1303.040039
2016-03-04,103.010002,575.140015,13.54,42.830002,71.059998,710.890015,60.049999,26.129999,52.029999,1297.709961
2016-03-07,101.870003,562.799988,13.53,42.610001,70.489998,695.159973,59.939999,26.09,51.029999,1291.430054
2016-03-08,101.029999,560.26001,13.06,41.049999,69.82,693.969971,58.779999,25.01,51.650002,1282.77002
2016-03-09,101.120003,559.469971,13.14,41.150002,71.040001,705.23999,59.119999,24.610001,52.84,1291.890015
2016-03-10,101.169998,558.929993,13.27,41.369999,70.699997,712.820007,58.610001,24.65,52.049999,1293.77002
2016-03-11,102.260002,569.609985,13.79,42.990002,71.629997,726.820007,59.34,26.0,53.07,1326.869995
2016-03-14,102.519997,573.369995,13.64,42.669998,72.220001,730.48999,59.119999,25.91,53.169998,1325.72998
2016-03-15,104.580002,577.02002,13.57,42.59,71.699997,728.330017,59.200001,25.43,53.59,1332.130005
2016-03-16,105.970001,574.27002,13.31,42.23,72.730003,736.090027,58.919998,25.16,54.349998,1350.98999
2016-03-17,105.800003,559.440002,13.4,42.849998,72.720001,737.780029,58.75,25.85,54.66,1346.859985
2016-03-18,105.919998,552.080017,13.79,43.540001,72.650002,737.599976,60.48,26.280001,53.490002,1344.219971
2016-03-21,105.910004,553.97998,13.84,43.599998,72.25,742.090027,60.459999,25.940001,53.860001,1350.51001
2016-03-22,106.720001,560.47998,13.76,43.380001,72.849998,740.75,60.240002,25.84,54.07,1319.410034
2016-03-23,106.129997,569.630005,13.62,42.369999,71.779999,738.059998,59.939999,25.27,53.970001,1306.109985
2016-03-24,105.669998,582.950012,13.68,41.939999,72.440002,735.299988,59.48,24.93,54.209999,1301.189941
2016-03-28,105.190002,579.869995,13.62,41.919998,71.949997,733.530029,59.400002,24.719999,53.540001,1287.030029
2016-03-29,107.68,593.859985,13.42,41.720001,72.300003,744.77002,59.029999,24.780001,54.709999,1307.890015
2016-03-30,109.559998,598.690002,13.48,41.880001,74.300003,750.530029,59.709999,25.07,55.049999,1317.030029
2016-03-31,108.989998,593.640015,13.52,41.75,73.830002,744.950012,59.220001,25.01,55.23,1288.959961
